Product,Current Factory,Alt Factory,Is Current,Current LT,Alt LT,LT Reduction,LT Reduction %,Current Margin %,Alt Margin %,Profit Impact %,Confidence,Risk,Current Orders
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,False,584.2,591.1,-6.8,-1.2,66.7,65.1,-1.5,70.8,Medium,1818
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,False,584.2,610.0,-25.8,-4.4,66.7,53.2,-13.4,50.2,High,1818
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,False,584.2,591.9,-7.6,-1.3,66.7,51.5,-15.1,51.1,High,1818
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,False,584.2,550.3,34.0,5.8,66.7,10.5,-56.2,50.5,High,1818
Wonka Gum,Secret Factory,Lot's O' Nuts,False,576.5,591.2,-14.7,-2.6,52.0,69.2,17.2,78.5,Low,120
Wonka Gum,Secret Factory,Wicked Choccy's,False,576.5,591.1,-14.6,-2.5,52.0,65.1,13.1,70.8,Low,120
Wonka Gum,Secret Factory,Sugar Shack,False,576.5,610.0,-33.5,-5.8,52.0,53.2,1.2,50.2,Low,120
Wonka Gum,Secret Factory,Secret Factory,True,576.5,591.9,-15.3,-2.7,52.0,51.5,-0.5,51.1,Medium,120
Wonka Gum,Secret Factory,The Other Factory,False,576.5,550.3,26.2,4.6,52.0,10.5,-41.5,50.5,High,120
Kazookles,The Other Factory,Lot's O' Nuts,False,543.0,591.2,-48.2,-8.9,7.7,69.2,61.5,78.5,Low,96
Kazookles,The Other Factory,Wicked Choccy's,False,543.0,591.1,-48.1,-8.9,7.7,65.1,57.4,70.8,Low,96
Kazookles,The Other Factory,Sugar Shack,False,543.0,610.0,-67.0,-12.3,7.7,53.2,45.5,50.2,Low,96
Kazookles,The Other Factory,Secret Factory,False,543.0,591.9,-48.9,-9.0,7.7,51.5,43.8,51.1,Low,96
Kazookles,The Other Factory,The Other Factory,True,543.0,550.3,-7.3,-1.3,7.7,10.5,2.8,50.5,Low,96
Lickable Wallpaper,Secret Factory,Lot's O' Nuts,False,609.1,591.2,17.9,2.9,50.0,69.2,19.2,78.5,Low,94
Lickable Wallpaper,Secret Factory,Wicked Choccy's,False,609.1,591.1,18.1,3.0,50.0,65.1,15.1,70.8,Low,94
Lickable Wallpaper,Secret Factory,Sugar Shack,False,609.1,610.0,-0.9,-0.1,50.0,53.2,3.2,50.2,Low,94
Lickable Wallpaper,Secret Factory,Secret Factory,True,609.1,591.9,17.3,2.8,50.0,51.5,1.5,51.1,Low,94
Lickable Wallpaper,Secret Factory,The Other Factory,False,609.1,550.3,58.9,9.7,50.0,10.5,-39.5,50.5,High,94
Fizzy Lifting Drinks,Sugar Shack,Lot's O' Nuts,False,543.5,591.2,-47.7,-8.8,60.0,69.2,9.2,78.5,Low,6
Fizzy Lifting Drinks,Sugar Shack,Wicked Choccy's,False,543.5,591.1,-47.6,-8.8,60.0,65.1,5.1,70.8,Low,6
Fizzy Lifting Drinks,Sugar Shack,Sugar Shack,True,543.5,610.0,-66.5,-12.2,60.0,53.2,-6.8,50.2,Medium,6
Fizzy Lifting Drinks,Sugar Shack,Secret Factory,False,543.5,591.9,-48.4,-8.9,60.0,51.5,-8.5,51.1,Medium,6
Fizzy Lifting Drinks,Sugar Shack,The Other Factory,False,543.5,550.3,-6.8,-1.2,60.0,10.5,-49.5,50.5,High,6
Laffy Taffy,Sugar Shack,Lot's O' Nuts,False,653.1,591.2,61.9,9.5,62.3,69.2,6.9,78.5,Low,10
Laffy Taffy,Sugar Shack,Wicked Choccy's,False,653.1,591.1,62.0,9.5,62.3,65.1,2.8,70.8,Low,10
Laffy Taffy,Sugar Shack,Sugar Shack,True,653.1,610.0,43.1,6.6,62.3,53.2,-9.1,50.2,Medium,10
Laffy Taffy,Sugar Shack,Secret Factory,False,653.1,591.9,61.2,9.4,62.3,51.5,-10.8,51.1,High,10
Laffy Taffy,Sugar Shack,The Other Factory,False,653.1,550.3,102.8,15.7,62.3,10.5,-51.8,50.5,High,10
SweeTARTS,Sugar Shack,Lot's O' Nuts,False,653.5,591.2,62.3,9.5,46.7,69.2,22.5,78.5,Low,10
SweeTARTS,Sugar Shack,Wicked Choccy's,False,653.5,591.1,62.4,9.6,46.7,65.1,18.5,70.8,Low,10
SweeTARTS,Sugar Shack,Sugar Shack,True,653.5,610.0,43.5,6.7,46.7,53.2,6.6,50.2,Low,10
SweeTARTS,Sugar Shack,Secret Factory,False,653.5,591.9,61.6,9.4,46.7,51.5,4.9,51.1,Low,10
SweeTARTS,Sugar Shack,The Other Factory,False,653.5,550.3,103.2,15.8,46.7,10.5,-36.2,50.5,High,10
Nerds,Sugar Shack,Lot's O' Nuts,False,544.0,591.2,-47.2,-8.7,46.7,69.2,22.5,78.5,Low,4
Nerds,Sugar Shack,Wicked Choccy's,False,544.0,591.1,-47.1,-8.7,46.7,65.1,18.5,70.8,Low,4
Nerds,Sugar Shack,Sugar Shack,True,544.0,610.0,-66.0,-12.1,46.7,53.2,6.6,50.2,Low,4
Nerds,Sugar Shack,Secret Factory,False,544.0,591.9,-47.9,-8.8,46.7,51.5,4.9,51.1,Low,4
Nerds,Sugar Shack,The Other Factory,False,544.0,550.3,-6.3,-1.2,46.7,10.5,-36.2,50.5,High,4
Hair Toffee,The Other Factory,Lot's O' Nuts,False,725.2,591.2,134.0,18.5,77.8,69.2,-8.6,78.5,Medium,4
Hair Toffee,The Other Factory,Wicked Choccy's,False,725.2,591.1,134.2,18.5,77.8,65.1,-12.7,70.8,High,4
Hair Toffee,The Other Factory,Sugar Shack,False,725.2,610.0,115.2,15.9,77.8,53.2,-24.6,50.2,High,4
Hair Toffee,The Other Factory,Secret Factory,False,725.2,591.9,133.4,18.4,77.8,51.5,-26.3,51.1,High,4
Hair Toffee,The Other Factory,The Other Factory,True,725.2,550.3,175.0,24.1,77.8,10.5,-67.3,50.5,High,4
Everlasting Gobstopper,Secret Factory,Lot's O' Nuts,False,664.7,591.2,73.4,11.0,80.0,69.2,-10.8,78.5,High,3
Everlasting Gobstopper,Secret Factory,Wicked Choccy's,False,664.7,591.1,73.6,11.1,80.0,65.1,-14.9,70.8,High,3
Everlasting Gobstopper,Secret Factory,Sugar Shack,False,664.7,610.0,54.6,8.2,80.0,53.2,-26.8,50.2,High,3
Everlasting Gobstopper,Secret Factory,Secret Factory,True,664.7,591.9,72.8,11.0,80.0,51.5,-28.5,51.1,High,3
Everlasting Gobstopper,Secret Factory,The Other Factory,False,664.7,550.3,114.4,17.2,80.0,10.5,-69.5,50.5,High,3
Fun Dip,Sugar Shack,Lot's O' Nuts,False,542.7,591.2,-48.6,-8.9,40.0,69.2,29.2,78.5,Low,3
Fun Dip,Sugar Shack,Wicked Choccy's,False,542.7,591.1,-48.4,-8.9,40.0,65.1,25.1,70.8,Low,3
Fun Dip,Sugar Shack,Sugar Shack,True,542.7,610.0,-67.4,-12.4,40.0,53.2,13.2,50.2,Low,3
Fun Dip,Sugar Shack,Secret Factory,False,542.7,591.9,-49.2,-9.1,40.0,51.5,11.5,51.1,Low,3
Fun Dip,Sugar Shack,The Other Factory,False,542.7,550.3,-7.6,-1.4,40.0,10.5,-29.5,50.5,High,3
