Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead Time,Factory,Profit Margin
46,US-2021-167927-CHO-FUD-51000,2024-01-20,2024-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,181,Lot's O' Nuts,66.67
47,US-2021-147627-CHO-MIL-31000,2024-01-20,2024-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,181,Wicked Choccy's,64.92
48,US-2021-148614-CHO-MIL-31000,2024-01-20,2024-07-18,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,180,Wicked Choccy's,64.92
49,US-2021-167927-CHO-FUD-51000,2024-01-20,2024-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,181,Lot's O' Nuts,66.67
50,US-2021-147627-CHO-TRI-54000,2024-01-20,2024-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,181,Wicked Choccy's,65.33
51,US-2021-147627-CHO-SCR-58000,2024-01-20,2024-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,181,Lot's O' Nuts,69.44
52,US-2021-167927-CHO-NUT-13000,2024-01-20,2024-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,181,Lot's O' Nuts,71.35
53,US-2021-167927-CHO-MIL-31000,2024-01-20,2024-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,181,Wicked Choccy's,64.92
54,US-2021-147774-CHO-NUT-13000,2024-01-20,2024-07-19,Standard Class,147774,United States,Smyrna,Tennessee,37167,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,181,Lot's O' Nuts,71.35
55,US-2021-167927-CHO-TRI-54000,2024-01-20,2024-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,181,Wicked Choccy's,65.33
56,US-2021-147627-CHO-FUD-51000,2024-01-20,2024-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,181,Lot's O' Nuts,66.67
57,US-2021-148614-CHO-SCR-58000,2024-01-20,2024-07-18,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,180,Lot's O' Nuts,69.44
58,US-2021-167927-CHO-FUD-51000,2024-01-20,2024-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,181,Lot's O' Nuts,66.67
59,US-2021-167927-CHO-MIL-31000,2024-01-20,2024-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,181,Wicked Choccy's,64.92
60,US-2021-147627-CHO-FUD-51000,2024-01-20,2024-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,181,Lot's O' Nuts,66.67
61,US-2021-110422-CHO-TRI-54000,2024-01-21,2024-07-16,Second Class,110422,United States,Miami,Florida,33180,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,177,Wicked Choccy's,65.33
62,CA-2021-115238-CHO-FUD-51000,2024-01-21,2024-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,178,Lot's O' Nuts,66.67
63,CA-2021-115238-CHO-MIL-31000,2024-01-21,2024-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,178,Wicked Choccy's,64.92
64,CA-2021-115238-CHO-TRI-54000,2024-01-21,2024-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,178,Wicked Choccy's,65.33
65,CA-2021-115238-CHO-FUD-51000,2024-01-21,2024-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,178,Lot's O' Nuts,66.67
66,CA-2021-115238-CHO-MIL-31000,2024-01-21,2024-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4,178,Wicked Choccy's,64.92
67,US-2021-146997-CHO-TRI-54000,2024-01-23,2024-07-20,Standard Class,146997,United States,Lafayette,Indiana,47905,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,179,Wicked Choccy's,65.33
68,US-2021-102645-CHO-FUD-51000,2024-01-23,2024-07-21,Standard Class,102645,United States,Las Vegas,Nevada,89115,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,21.6,6,14.4,7.2,180,Lot's O' Nuts,66.67
69,US-2021-167997-CHO-TRI-54000,2024-01-26,2024-07-22,First Class,167997,United States,Rapid City,South Dakota,57701,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,178,Wicked Choccy's,65.33
70,US-2021-155502-CHO-MIL-31000,2024-01-26,2024-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,180,Wicked Choccy's,64.92
71,US-2021-155502-CHO-MIL-31000,2024-01-26,2024-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,180,Wicked Choccy's,64.92
72,US-2021-167997-CHO-TRI-54000,2024-01-26,2024-07-22,First Class,167997,United States,Rapid City,South Dakota,57701,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,178,Wicked Choccy's,65.33
73,US-2021-155502-CHO-MIL-31000,2024-01-26,2024-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,180,Wicked Choccy's,64.92
74,US-2021-155502-CHO-TRI-54000,2024-01-26,2024-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,180,Wicked Choccy's,65.33
75,US-2021-155502-CHO-MIL-31000,2024-01-26,2024-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26.0,8,16.88,9.12,180,Wicked Choccy's,64.92
76,US-2021-155502-CHO-FUD-51000,2024-01-26,2024-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,180,Lot's O' Nuts,66.67
77,US-2021-155502-CHO-MIL-31000,2024-01-26,2024-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,42.25,13,27.43,14.82,180,Wicked Choccy's,64.92
78,US-2021-117163-CHO-NUT-13000,2024-01-27,2024-07-26,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,181,Lot's O' Nuts,71.35
79,US-2021-117163-CHO-TRI-54000,2024-01-27,2024-07-26,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,181,Wicked Choccy's,65.33
80,US-2021-117163-CHO-SCR-58000,2024-01-27,2024-07-26,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,181,Lot's O' Nuts,69.44
81,US-2021-100328-CHO-MIL-31000,2024-01-28,2024-07-27,Standard Class,100328,United States,New York City,New York,10024,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,181,Wicked Choccy's,64.92
82,US-2021-134103-CHO-NUT-13000,2024-01-30,2024-07-28,Standard Class,134103,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,180,Lot's O' Nuts,71.35
83,US-2021-134103-CHO-NUT-13000,2024-01-30,2024-07-28,Standard Class,134103,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,180,Lot's O' Nuts,71.35
84,US-2021-115161-CHO-MIL-31000,2024-01-31,2024-07-26,First Class,115161,United States,Mission Viejo,California,92691,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,177,Wicked Choccy's,64.92
85,US-2021-140795-CHO-SCR-58000,2024-02-01,2024-07-27,First Class,140795,United States,Green Bay,Wisconsin,54302,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,177,Lot's O' Nuts,69.44
86,US-2021-123400-CHO-MIL-31000,2024-02-02,2024-08-02,Standard Class,123400,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,182,Wicked Choccy's,64.92
87,US-2021-139857-CHO-FUD-51000,2024-02-02,2024-07-30,Standard Class,139857,United States,San Diego,California,92037,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,179,Lot's O' Nuts,66.67
88,US-2021-123400-CHO-TRI-54000,2024-02-02,2024-08-02,Standard Class,123400,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,182,Wicked Choccy's,65.33
89,US-2021-111059-CHO-NUT-13000,2024-02-03,2024-07-30,Second Class,111059,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,178,Lot's O' Nuts,71.35
90,US-2021-111059-CHO-SCR-58000,2024-02-03,2024-07-30,Second Class,111059,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,178,Lot's O' Nuts,69.44
91,US-2021-104808-CHO-FUD-51000,2024-02-04,2024-08-01,Second Class,104808,United States,Escondido,California,92025,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,179,Lot's O' Nuts,66.67
92,US-2021-107181-CHO-TRI-54000,2024-02-04,2024-08-01,Standard Class,107181,United States,San Diego,California,92024,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,179,Wicked Choccy's,65.33
93,US-2021-107181-OTH-KAZ-38000,2024-02-04,2024-08-01,Standard Class,107181,United States,San Diego,California,92024,Other,Pacific,OTH-KAZ-38000,Kazookles,13.0,4,1.0,12.0,179,The Other Factory,7.69
94,US-2021-108182-CHO-NUT-13000,2024-02-06,2024-08-03,Second Class,108182,United States,Romeoville,Illinois,60441,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,179,Lot's O' Nuts,71.35
95,US-2021-131905-CHO-TRI-54000,2024-02-06,2024-08-02,First Class,131905,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,178,Wicked Choccy's,65.33
96,US-2021-131905-CHO-NUT-13000,2024-02-06,2024-08-02,First Class,131905,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,178,Lot's O' Nuts,71.35
97,US-2021-131905-CHO-MIL-31000,2024-02-06,2024-08-02,First Class,131905,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,178,Wicked Choccy's,64.92
98,US-2021-169390-CHO-MIL-31000,2024-02-07,2024-08-03,Second Class,169390,United States,New York City,New York,10024,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,178,Wicked Choccy's,64.92
99,US-2021-107755-CHO-FUD-51000,2024-02-07,2024-08-05,Standard Class,107755,United States,Linden,New Jersey,7036,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,180,Lot's O' Nuts,66.67
100,US-2021-125759-OTH-GUM-21000,2024-02-08,2024-08-02,First Class,125759,United States,North Las Vegas,Nevada,89031,Other,Pacific,OTH-GUM-21000,Wonka Gum,2.5,2,1.3,1.2,176,Secret Factory,52.0
101,US-2021-168368-CHO-TRI-54000,2024-02-11,2024-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,179,Wicked Choccy's,65.33
102,US-2021-168368-CHO-TRI-54000,2024-02-11,2024-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,179,Wicked Choccy's,65.33
103,US-2021-127614-CHO-MIL-31000,2024-02-11,2024-08-08,Standard Class,127614,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,179,Wicked Choccy's,64.92
104,US-2021-127614-CHO-MIL-31000,2024-02-11,2024-08-08,Standard Class,127614,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,179,Wicked Choccy's,64.92
105,US-2021-168368-CHO-NUT-13000,2024-02-11,2024-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,179,Lot's O' Nuts,71.35
